image_id,target_class,deletion_auc,insertion_auc
ISIC_0025056,5,0.8679629564285278,0.952634871006012
ISIC_0030322,5,0.8596354722976685,0.9543408155441284
ISIC_0031151,5,0.858744740486145,0.9139758348464966
ISIC_0031777,5,0.8609550595283508,0.9239923357963562
ISIC_0025558,5,0.6933876872062683,0.9243320822715759
ISIC_0026700,5,0.8108927011489868,0.9542310237884521
ISIC_0026594,5,0.8941855430603027,0.8423998951911926
ISIC_0029619,5,0.775787889957428,0.9494997262954712
ISIC_0030906,5,0.6981088519096375,0.9104692935943604
ISIC_0029675,5,0.9488143920898438,0.9553280472755432
ISIC_0030411,5,0.8986704349517822,0.8661167621612549
ISIC_0031219,5,0.798548698425293,0.9543294310569763
ISIC_0028108,5,0.8423341512680054,0.79736328125
ISIC_0030483,5,0.8269450068473816,0.8556104898452759
ISIC_0024421,5,0.8076204657554626,0.9189621806144714
ISIC_0027251,5,0.8593620657920837,0.9251289963722229
ISIC_0029618,5,0.7680686116218567,0.875913143157959
ISIC_0028613,5,0.842100977897644,0.8636108040809631
ISIC_0031102,5,0.8118202090263367,0.9542502760887146
ISIC_0025910,5,0.6677953600883484,0.8808491826057434
ISIC_0030547,5,0.745086133480072,0.8150672912597656
ISIC_0031288,5,0.7433118224143982,0.8049136400222778
ISIC_0031909,5,0.8900535702705383,0.8660221695899963
ISIC_0026822,5,0.7886080145835876,0.9088037610054016
ISIC_0024429,5,0.6945335865020752,0.9046638011932373
ISIC_0026225,5,0.8809239864349365,0.9026578664779663
ISIC_0026202,5,0.9517781138420105,0.9018465280532837
ISIC_0025116,5,0.8027794361114502,0.9483884572982788
ISIC_0025952,5,0.9556426405906677,0.901940107345581
ISIC_0027657,2,0.05456886813044548,0.10823056846857071
ISIC_0026540,5,0.7772552371025085,0.9128687977790833
ISIC_0030206,5,0.8053070306777954,0.9180350303649902
ISIC_0032071,5,0.6208956837654114,0.8090165853500366
ISIC_0026269,5,0.8355724811553955,0.9068474173545837
ISIC_0032484,5,0.9486172199249268,0.9219986796379089
ISIC_0026980,5,0.8504133224487305,0.7971743941307068
ISIC_0032202,5,0.7888623476028442,0.8890894651412964
ISIC_0027868,5,0.7607952952384949,0.8157933354377747
ISIC_0024465,5,0.728294849395752,0.805884599685669
ISIC_0031682,5,0.7288911938667297,0.8912512063980103
ISIC_0025738,5,0.7102040648460388,0.9102495312690735
ISIC_0030538,5,0.7983328104019165,0.9081207513809204
ISIC_0026112,5,0.8835144639015198,0.9000569581985474
ISIC_0027384,5,0.9324337840080261,0.9096211791038513
ISIC_0029490,5,0.8286651372909546,0.890932023525238
ISIC_0026241,5,0.8932645916938782,0.9673694968223572
ISIC_0026915,5,0.9336543083190918,0.8529095649719238
ISIC_0032263,5,0.9277801513671875,0.9144976735115051
ISIC_0032241,5,0.8890968561172485,0.8555774092674255
ISIC_0028177,5,0.9128594398498535,0.8236172795295715
ISIC_0028609,5,0.7995561957359314,0.822906494140625
ISIC_0026267,5,0.8659504652023315,0.8597104549407959
ISIC_0027405,5,0.8902915716171265,0.8728660941123962
ISIC_0029999,5,0.8966524600982666,0.8353859782218933
ISIC_0032108,5,0.8357186317443848,0.9448667764663696
ISIC_0026173,5,0.8377288579940796,0.939037024974823
ISIC_0026773,5,0.8238591551780701,0.873437762260437
ISIC_0024404,5,0.9433278441429138,0.7168378233909607
ISIC_0027971,5,0.86065274477005,0.9147913455963135
ISIC_0032056,5,0.7241015434265137,0.9913579225540161
ISIC_0025527,5,0.9760822653770447,0.8003851175308228
ISIC_0029508,5,0.9099677205085754,0.9629681706428528
ISIC_0031581,5,0.8018864989280701,0.9068731069564819
ISIC_0026368,5,0.8924122452735901,0.859187126159668
ISIC_0027712,5,0.8698388934135437,0.9450522661209106
ISIC_0026253,5,0.8322646617889404,0.7321967482566833
ISIC_0029167,5,0.8539790511131287,0.8745602965354919
ISIC_0027593,5,0.8656653761863708,0.8258997201919556
ISIC_0026570,5,0.8804478049278259,0.8172094225883484
ISIC_0030657,5,0.9190226793289185,0.811618983745575
ISIC_0030380,5,0.9369929432868958,0.8835517168045044
ISIC_0031656,5,0.8490883111953735,0.927013635635376
ISIC_0029871,5,0.8346319198608398,0.914313554763794
ISIC_0032339,5,0.8500859141349792,0.8632851243019104
ISIC_0026436,5,0.7506246566772461,0.8720976114273071
ISIC_0026240,5,0.7521227598190308,0.9303738474845886
ISIC_0031540,5,0.8667874336242676,0.914208173751831
ISIC_0031033,5,0.9395731091499329,0.936500608921051
ISIC_0030265,5,0.9197728633880615,0.7637869119644165
ISIC_0030248,5,0.8653715252876282,0.7259646058082581
ISIC_0032320,5,0.9596860408782959,0.8473716378211975
ISIC_0025236,5,0.9000401496887207,0.9584014415740967
ISIC_0024919,5,0.8200429081916809,0.9834170937538147
ISIC_0025844,5,0.7706366777420044,0.9715006947517395
ISIC_0030450,5,0.850567102432251,0.959719181060791
ISIC_0030916,5,0.8771558403968811,0.7906970381736755
ISIC_0027225,5,0.8222537636756897,0.8724585771560669
ISIC_0028275,5,0.8886680006980896,0.9320754408836365
ISIC_0024794,5,0.8841460943222046,0.8448039293289185
ISIC_0025649,5,0.8335161805152893,0.8901263475418091
ISIC_0025147,5,0.9209337830543518,0.9546113014221191
ISIC_0026983,5,0.8752294778823853,0.8013548851013184
ISIC_0029423,5,0.9349955916404724,0.8430715203285217
ISIC_0030385,5,0.8629880547523499,0.8717406392097473
ISIC_0025890,5,0.9128304123878479,0.9738232493400574
ISIC_0029556,5,0.7917789816856384,0.9914470314979553
ISIC_0028674,5,0.8154634833335876,0.9619606137275696
ISIC_0025430,5,0.9057253003120422,0.8024166822433472
ISIC_0026977,5,0.8901219964027405,0.9542046189308167
ISIC_0030220,5,0.8653457760810852,0.8652827739715576
ISIC_0031864,5,0.8414740562438965,0.9248830676078796
ISIC_0031816,5,0.9024308919906616,0.9321927428245544
ISIC_0029722,5,0.9323393106460571,0.8722387552261353
ISIC_0030975,5,0.9422422647476196,0.8617972731590271
ISIC_0032054,5,0.8568978309631348,0.9162895679473877
ISIC_0030342,5,0.9366812705993652,0.8811697959899902
ISIC_0028667,5,0.8541462421417236,0.8995992541313171
ISIC_0027032,5,0.9405074119567871,0.9045088887214661
ISIC_0030928,5,0.9116596579551697,0.8505135178565979
ISIC_0031128,5,0.9335812926292419,0.9027221202850342
ISIC_0029968,5,0.8792381286621094,0.9555297493934631
ISIC_0024826,5,0.8594032526016235,0.9722663164138794
ISIC_0024455,5,0.8729225397109985,0.7122939229011536
ISIC_0028501,5,0.9084314107894897,0.9565447568893433
ISIC_0029408,5,0.9239621162414551,0.9320693016052246
ISIC_0029684,5,0.8974995017051697,0.8045316934585571
ISIC_0028248,5,0.7694635987281799,0.9248291254043579
ISIC_0028997,5,0.9680714011192322,0.9066543579101562
ISIC_0027785,5,0.8089520335197449,0.8593312501907349
ISIC_0026999,5,0.8229826092720032,0.982988178730011
ISIC_0029762,5,0.9272961020469666,0.8856239318847656
ISIC_0025632,5,0.8983676433563232,0.9258922934532166
ISIC_0024939,5,0.8594621419906616,0.8887742757797241
ISIC_0032106,5,0.8719382286071777,0.7999683022499084
ISIC_0030368,5,0.7790034413337708,0.9131636619567871
ISIC_0030087,5,0.9534609317779541,0.9560856223106384
ISIC_0027833,2,0.01067076250910759,0.07045069336891174
ISIC_0028875,5,0.7558972239494324,0.970464289188385
ISIC_0031939,5,0.966312825679779,0.8829070925712585
ISIC_0027173,5,0.8714755177497864,0.9091182351112366
ISIC_0028907,5,0.8339650630950928,0.7991011738777161
ISIC_0026748,5,0.9808903336524963,0.9661164283752441
ISIC_0026312,5,0.8401113152503967,0.8982449769973755
ISIC_0024659,5,0.9743005633354187,0.9107394814491272
ISIC_0032053,5,0.8771112561225891,0.9798291921615601
