image_id,iou,pointing_game_hit,heatmap_positive_fraction
ISIC_0026001,0.48387911440356934,False,0.20001594387755103
ISIC_0026005,0.5019054878048781,False,0.20001594387755103
ISIC_0026043,0.5025341130604288,True,0.20001594387755103
ISIC_0026112,0.17745597349205375,False,0.20001594387755103
ISIC_0026127,0.10133567662565905,False,0.20009566326530612
ISIC_0026155,0.304735758407687,True,0.20001594387755103
ISIC_0026167,0.05241978945855639,False,0.20009566326530612
ISIC_0026173,0.07497236629538305,False,0.20001594387755103
ISIC_0026176,0.10315155807365439,False,0.20001594387755103
ISIC_0026179,0.7197408461764995,True,0.20001594387755103
ISIC_0026190,0.5733762384621899,True,0.20001594387755103
ISIC_0026192,0.20784313725490197,False,0.20005580357142858
ISIC_0026202,0.1033043870531183,False,0.20007573341836735
ISIC_0026222,0.45896758973206764,True,0.20001594387755103
ISIC_0026225,0.6183108159106347,True,0.20001594387755103
ISIC_0026226,0.11310576582950124,False,0.20001594387755103
ISIC_0026240,0.28278475017759885,False,0.20001594387755103
ISIC_0026241,0.49871919441745427,False,0.20001594387755103
ISIC_0026247,0.08863658998107758,True,0.2001155931122449
ISIC_0026253,0.12459782442163321,False,0.2001155931122449
ISIC_0026267,0.06672929655250946,False,0.20001594387755103
ISIC_0026269,0.5018920533758215,True,0.20005580357142858
ISIC_0026271,0.35917106705190793,True,0.2000358737244898
ISIC_0026277,0.11512343213230007,False,0.2001155931122449
ISIC_0026287,0.09889208042675421,False,0.2000358737244898
ISIC_0026312,0.4311478676763651,True,0.20001594387755103
ISIC_0026314,0.07114388202471104,True,0.20001594387755103
ISIC_0026316,0.25057849539774774,True,0.20001594387755103
ISIC_0026318,0.7153647752394989,True,0.20001594387755103
ISIC_0026351,0.2823461759631972,False,0.20001594387755103
ISIC_0026365,0.25559738458490194,True,0.20001594387755103
ISIC_0026368,0.46540221120853986,True,0.20001594387755103
ISIC_0026388,0.040759743777685715,False,0.20001594387755103
ISIC_0026396,0.1601450299006451,False,0.20001594387755103
ISIC_0026402,0.395874850538063,True,0.20001594387755103
ISIC_0026418,0.06651127944726547,False,0.2000358737244898
ISIC_0026436,0.22334447684757094,False,0.20001594387755103
ISIC_0026439,0.03247965699269265,False,0.20001594387755103
ISIC_0026443,0.39031997227677023,True,0.20001594387755103
ISIC_0026464,0.2961339178955759,True,0.20001594387755103
ISIC_0026467,0.30709445994420087,True,0.20001594387755103
ISIC_0026491,0.14318728935965336,False,0.20001594387755103
ISIC_0026497,0.41440813072937427,True,0.20001594387755103
ISIC_0026530,0.10525531492151798,False,0.20001594387755103
ISIC_0026540,0.6252365302260731,True,0.20001594387755103
ISIC_0026546,0.5330253464852042,False,0.20001594387755103
ISIC_0026547,0.07566057502037016,False,0.20001594387755103
ISIC_0026555,0.16692089779908476,False,0.20001594387755103
ISIC_0026563,0.11773481890613592,False,0.2001355229591837
ISIC_0026565,0.19386133928269614,False,0.20015545280612246
ISIC_0026568,0.3269093504639543,False,0.20001594387755103
ISIC_0026570,0.3518666059640337,True,0.20001594387755103
ISIC_0026571,0.1143361938414942,False,0.20005580357142858
ISIC_0026594,0.16850287259209193,True,0.20001594387755103
ISIC_0026609,0.19873110654972942,False,0.20001594387755103
ISIC_0026610,0.171527950310559,False,0.20001594387755103
ISIC_0026612,0.33496898435330064,False,0.20001594387755103
ISIC_0026614,0.06716340141725718,False,0.20001594387755103
ISIC_0026621,0.10396392889580901,False,0.20001594387755103
ISIC_0026662,0.05462873471445981,False,0.20001594387755103
ISIC_0026665,0.40565037122746117,False,0.20001594387755103
ISIC_0026686,0.06819856635626717,False,0.20001594387755103
ISIC_0026694,0.5345800122624157,True,0.20001594387755103
ISIC_0026700,0.11237151834691378,False,0.20009566326530612
ISIC_0026735,0.1232322795485015,False,0.20001594387755103
ISIC_0026748,0.1370416636049673,False,0.20001594387755103
ISIC_0026773,0.44736409919527015,False,0.20009566326530612
ISIC_0026774,0.4050138271011182,True,0.20001594387755103
ISIC_0026777,0.14114962512224274,False,0.20001594387755103
ISIC_0026793,0.1070683788826693,False,0.20001594387755103
ISIC_0026805,0.7267289413307112,True,0.20001594387755103
ISIC_0026818,0.7618377483443709,True,0.20001594387755103
ISIC_0026822,0.3270935960591133,False,0.2001155931122449
ISIC_0026823,0.13398042143686742,False,0.20001594387755103
ISIC_0026829,0.17439395946482977,True,0.2001355229591837
